Word,Simplified grammatical category,Concretenes,Subjective Frequency,Imagery,AoA,Log frequency,Frequency
alternar,v,3.68,3.57,3.82,6.66,7.21,1356.00
alucinar,v,3.97,3.05,4.40,7.25,4.28,72.00
aludir,v,3.76,2.78,3.78,7.82,6.44,625.00
alugar,v,5.04,4.10,4.78,4.92,8.47,4788.00
aluir,v,4.20,2.23,4.02,7.32,4.04,57.00
alumiar,v,4.16,2.68,4.44,5.93,4.84,126.00
alvejar,v,4.23,2.49,4.25,7.30,5.77,322.00
alvitrar,v,4.02,2.82,3.99,7.39,3.40,30.00
alvoroçar,v,4.22,2.83,4.33,6.64,2.83,17.00
amaciar,v,4.10,3.05,4.12,5.52,5.31,203.00
amadurecer,v,4.14,3.82,4.17,5.57,7.17,1301.00
amainar,v,4.04,2.62,4.26,7.51,4.65,105.00
amaldiçoar,v,4.02,2.72,4.42,6.17,5.59,268.00
amamentar,v,4.95,3.79,5.36,5.56,6.70,813.00
amanhar,v,4.53,2.53,4.48,7.33,3.74,42.00
amanhecer,v,4.50,4.11,4.81,3.36,8.56,5217.00
amansar,v,4.46,3.00,4.59,6.40,4.93,138.00
amar,v,3.35,4.87,4.56,3.09,9.63,15283.00
amarelar,v,4.95,3.23,5.07,6.22,4.93,138.00
amargar,v,3.62,2.70,3.80,6.43,6.35,574.00
amargurar,v,3.57,2.76,3.86,7.61,4.03,56.00
amarrar,v,5.58,3.73,5.46,4.16,7.60,1992.00
amarrotar,v,4.21,3.09,4.29,6.94,3.61,37.00
ambicionar,v,3.23,2.84,3.69,6.43,6.05,422.00
ambientar,v,3.52,2.91,4.28,7.28,5.66,286.00
ameaçar,v,3.99,3.75,4.30,4.89,8.93,7523.00
amealhar,v,3.70,2.84,3.58,8.14,6.02,411.00
amedrontar,v,3.81,3.18,4.19,6.42,6.03,415.00
americanizar,v,4.15,2.94,4.22,7.38,3.61,37.00
amesquinhar,v,3.63,2.54,3.83,7.32,4.09,60.00
amigar,v,4.41,2.81,4.50,7.71,2.20,9.00
amimar,v,4.36,2.73,4.37,7.43,2.08,8.00
amiudar,v,4.13,2.71,4.22,7.38,2.40,11.00
amofinar,v,4.23,2.62,4.17,7.33,2.64,14.00
amolar,v,5.07,2.74,4.91,5.92,5.46,235.00
amoldar,v,4.19,2.89,4.30,6.93,3.00,20.00
amolecer,v,4.21,3.33,4.45,6.51,5.69,297.00
amolgar,v,4.41,2.49,4.38,7.87,2.71,15.00
amontoar,v,4.43,3.05,4.32,6.54,4.88,132.00
amordaçar,v,3.70,2.82,4.07,7.25,5.22,185.00
amortalhar,v,4.35,2.74,4.36,7.21,2.48,12.00
amortecer,v,4.35,3.04,4.44,7.88,6.34,567.00
amortizar,v,3.70,2.52,3.55,8.63,6.51,674.00
amostrar,v,3.96,3.52,3.99,6.58,5.20,181.00
amotinar,v,4.18,2.68,4.12,7.91,3.53,34.00
amparar,v,3.72,2.95,4.22,7.50,6.09,442.00
ampliar,v,3.60,3.98,3.71,6.64,9.67,15766.00
amplificar,v,3.95,3.00,4.22,7.71,6.28,536.00
amputar,v,4.63,3.30,4.30,6.43,6.31,548.00
amuar,v,4.20,2.74,4.22,7.10,3.30,27.00
analisar,v,3.86,4.65,3.67,6.24,10.67,42872.00
anarquizar,v,4.07,2.80,4.12,7.34,2.48,12.00
ancorar,v,4.61,3.32,4.66,6.02,6.36,576.00
andar,v,5.77,5.69,5.80,1.64,10.94,56366.00
anestesiar,v,3.91,3.22,4.26,6.72,4.80,121.00
anexar,v,3.96,3.12,4.00,6.58,7.46,1735.00
angariar,v,3.73,3.27,3.84,7.50,8.08,3220.00
angustiar,v,3.72,3.04,4.09,6.97,3.89,49.00
animar,v,3.46,3.97,4.45,5.09,8.64,5634.00
aninhar,v,4.19,3.08,4.38,7.38,4.48,88.00
aniquilar,v,3.43,3.04,3.97,6.88,7.06,1163.00
anistiar,v,3.98,2.43,4.16,7.17,4.61,100.00
anoitecer,v,4.46,3.40,4.45,5.59,7.61,2014.00
anotar,v,4.76,4.02,4.38,4.73,8.01,3011.00
ansiar,v,3.25,3.03,3.75,7.41,4.89,133.00
antagonizar,v,3.40,2.94,3.95,6.77,4.74,115.00
anteceder,v,2.70,2.42,2.97,6.91,6.35,570.00
antecipar,v,3.34,4.11,3.48,6.49,9.04,8414.00
antepor,v,3.78,2.63,3.73,7.53,3.64,38.00
antever,v,3.67,3.60,4.08,6.35,7.61,2011.00
anuir,v,3.46,2.59,3.28,7.74,4.73,113.00
anular,v,3.67,3.68,3.79,5.73,9.18,9700.00
anunciar,v,3.90,4.27,4.02,6.20,10.07,23710.00
apadrinhar,v,4.06,2.55,4.32,7.16,5.64,281.00
apagar,v,4.20,4.76,4.79,4.91,9.19,9756.00
apaixonar,v,3.08,3.79,4.20,5.65,8.05,3144.00
apalpar,v,4.93,3.39,5.15,7.45,6.05,424.00
apanhar,v,5.16,4.78,5.21,3.29,8.97,7899.00
