Word,Simplified grammatical category,Concretenes,Subjective Frequency,Imagery,AoA,Log frequency,Frequency
sibilino,a,3.48,2.57,3.65,7.12,4.23,69.00
sic,a,4.88,4.48,5.14,4.17,10.12,24718.00
siciliano,a,5.17,3.01,4.76,6.49,7.09,1205.00
sideral,a,4.54,2.66,4.56,6.14,7.09,1199.00
significante,a,2.87,3.71,3.02,7.60,7.89,2671.00
significativo,a,2.97,4.80,3.08,6.69,10.35,31389.00
silábico,a,4.09,2.51,3.98,7.29,4.51,91.00
silenciador,a,5.85,3.11,5.05,8.23,5.93,378.00
silencioso,a,3.31,4.32,3.80,5.66,8.15,3471.00
silente,a,3.50,2.77,3.87,7.62,4.64,104.00
silvestre,a,5.35,3.46,5.06,5.14,8.67,5811.00
silvícola,a,4.30,2.49,3.87,7.67,5.74,310.00
simbólico,a,3.23,3.78,3.61,7.13,8.93,7593.00
simiesco,a,4.23,2.74,4.29,7.37,2.48,12.00
similar,a,3.60,4.48,3.58,6.15,10.16,25895.00
simpático,a,3.42,4.80,3.94,5.00,8.82,6769.00
simpatizante,a,3.02,3.36,3.14,8.28,7.13,1253.00
simples,a,3.27,5.76,3.64,5.08,11.84,138473.00
simplório,a,3.60,3.09,3.71,6.71,6.06,427.00
simulado,a,3.84,3.78,4.18,7.62,7.48,1767.00
simultâneo,a,3.93,3.79,3.68,7.08,9.21,9998.00
sincero,a,2.52,4.75,3.28,6.49,8.67,5853.00
sincrônico,a,3.71,3.03,3.63,7.42,3.71,41.00
sindical,a,4.36,3.78,3.97,8.25,9.69,16148.00
sindicalista,a,4.75,3.41,4.23,8.60,8.28,3957.00
sineiro,a,5.15,2.60,4.84,6.02,5.52,249.00
singelo,a,3.11,3.56,3.41,6.27,6.55,698.00
singular,a,3.30,4.29,3.70,6.53,9.44,12559.00
sinistro,a,3.57,4.04,4.21,6.39,8.38,4371.00
sintético,a,4.93,3.80,4.38,6.79,7.98,2915.00
sinuoso,a,3.47,3.39,3.62,7.25,6.71,820.00
sírio,a,4.75,3.39,4.51,5.91,9.30,10936.00
sistemático,a,2.73,3.63,2.70,7.99,8.45,4673.00
sistêmico,a,3.52,2.53,3.46,8.87,6.35,574.00
sisudo,a,3.45,3.09,3.64,6.30,5.92,372.00
sobejo,a,3.36,2.59,3.55,7.03,4.74,115.00
soberano,a,3.95,3.49,4.03,6.35,9.34,11368.00
soberbo,a,4.00,3.58,4.23,6.25,7.31,1489.00
sobranceiro,a,3.81,3.00,4.27,7.46,6.15,467.00
sobre-humano,a,2.90,2.74,3.36,8.38,5.33,207.00
sobrejacente,a,4.98,2.79,4.63,6.63,4.26,71.00
sobremodo,a,3.24,2.60,3.40,7.86,4.83,125.00
sobrenatural,a,2.72,3.71,3.77,6.81,8.16,3500.00
sobressalente,a,4.80,3.72,4.47,6.73,6.03,415.00
sobrevivente,a,4.72,3.68,4.52,5.94,8.78,6526.00
sóbrio,a,3.46,4.08,3.95,6.58,7.84,2538.00
socado,a,4.72,3.13,4.54,6.78,5.19,180.00
social,a,3.05,5.40,3.64,5.91,12.92,407082.00
sociável,a,3.47,3.95,4.26,6.39,6.40,599.00
socieconômico,a,4.09,2.86,4.14,8.08,2.77,16.00
societário,a,4.10,2.70,3.70,7.34,5.48,241.00
sociocultural,a,2.89,2.75,3.22,7.89,6.62,749.00
socioeconômico,a,3.37,3.40,3.47,7.19,6.74,847.00
socrático,a,3.11,2.68,3.06,8.20,5.81,333.00
sódico,a,4.94,2.56,4.00,7.60,5.23,187.00
soez,a,3.48,2.46,3.69,8.14,4.33,76.00
sôfrego,a,3.82,2.81,3.82,6.67,5.12,168.00
sofrido,a,3.68,4.43,3.89,6.09,9.96,21093.00
sofrível,a,3.68,3.54,3.71,7.12,6.40,599.00
solado,a,5.16,2.69,4.74,7.15,4.92,137.00
solene,a,3.49,3.50,3.73,6.59,8.99,8056.00
solerte,a,4.06,2.61,4.01,7.42,3.26,26.00
solícito,a,4.04,3.55,4.00,6.96,5.82,338.00
solidário,a,3.42,4.26,3.96,6.73,8.25,3837.00
sólido,a,3.92,4.45,3.81,6.27,9.35,11457.00
solista,a,5.61,2.80,5.14,7.86,8.13,3389.00
solitário,a,4.20,4.16,4.45,5.48,8.98,7955.00
solteirão,a,4.22,2.93,4.30,7.58,6.21,500.00
solteiro,a,4.43,4.41,4.51,4.91,8.81,6678.00
solto,a,4.45,4.25,4.42,4.04,8.91,7434.00
soluto,a,4.21,2.86,3.95,7.91,6.34,567.00
solúvel,a,3.85,3.77,3.72,6.91,7.68,2157.00
solvável,a,4.09,2.83,4.14,7.68,2.20,9.00
solvente,a,4.07,3.36,3.69,7.66,7.93,2777.00
somali,a,4.75,2.88,4.69,8.38,7.39,1614.00
somático,a,3.45,2.35,3.22,7.84,4.76,117.00
sombreado,a,4.31,3.07,4.55,8.51,5.62,275.00
sombrio,a,2.77,4.22,3.59,5.44,8.57,5279.00
sombroso,a,4.32,2.56,4.24,7.39,2.20,9.00
somenos,a,4.04,2.89,3.46,6.58,6.55,701.00
somente,a,3.90,5.07,4.15,4.77,11.75,127262.00
somítico,a,4.34,2.68,4.26,7.67,2.64,14.00
sonâmbulo,a,4.18,3.41,4.53,6.91,5.92,372.00
sonante,a,3.94,3.19,3.81,6.14,5.72,304.00
sônico,a,4.00,2.82,4.42,6.90,5.62,276.00
sonífero,a,4.93,3.28,4.95,6.21,5.25,191.00
sonoro,a,3.75,3.82,4.23,5.81,8.55,5156.00
sonoroso,a,4.36,2.55,4.24,7.91,3.00,20.00
sonso,a,3.45,3.00,3.65,7.65,5.15,173.00
soporífero,a,4.17,2.75,4.10,7.39,3.97,53.00
sórdido,a,3.37,3.64,3.91,6.18,6.43,619.00
soropositivo,a,4.12,3.01,4.00,8.50,5.36,213.00
sorrateiro,a,3.91,2.81,3.92,6.30,5.39,219.00
sorridente,a,4.92,4.31,5.10,4.91,7.89,2667.00
sortido,a,3.58,2.81,3.43,8.75,5.94,381.00
sortudo,a,3.88,4.08,4.46,5.20,7.79,2406.00
sorumbático,a,3.98,2.83,3.85,8.40,4.34,77.00
sossegado,a,3.24,4.44,4.04,5.17,7.09,1204.00
soteropolitano,a,4.48,2.49,4.13,8.03,5.22,185.00
soturno,a,2.78,3.08,3.36,6.80,6.24,514.00
soviético,a,3.97,3.46,3.98,6.47,9.69,16189.00
sovina,a,3.76,3.24,4.11,7.04,5.48,239.00
sozinho,a,5.30,5.29,5.42,3.10,10.77,47657.00
suave,a,3.17,4.79,4.13,5.21,9.43,12424.00
suavizar,a,3.51,3.28,3.76,7.04,6.82,918.00
suazi,a,4.15,2.21,4.10,8.66,4.16,64.00
subalimentado,a,4.50,2.66,4.42,7.43,2.08,8.00
subalterno,a,4.04,3.08,3.72,7.59,6.39,593.00
subaquático,a,4.79,2.67,4.98,5.56,6.47,644.00
subcutâneo,a,4.81,2.69,4.16,8.90,5.38,218.00
sub-humano,a,4.29,2.69,4.20,7.97,3.37,29.00
subido,a,3.64,3.73,3.86,5.78,8.12,3369.00
subitâneo,a,4.22,2.68,4.14,7.98,2.71,15.00
súbito,a,3.25,4.08,3.71,6.07,8.33,4134.00
subjacente,a,2.61,3.80,2.67,7.91,8.81,6672.00
subjetivo,a,2.08,3.71,2.74,8.41,7.23,1385.00
subjuntivo,a,3.76,1.80,3.44,7.70,5.51,246.00
sublime,a,2.69,3.63,3.59,6.59,8.29,3972.00
subliminar,a,3.35,3.37,3.99,8.05,6.33,560.00
sublingual,a,4.58,2.55,4.03,7.75,4.39,81.00
sublunar,a,4.01,2.56,4.40,8.18,3.50,33.00
submarino,a,5.29,2.90,5.19,6.40,9.07,8678.00
submisso,a,4.01,3.60,4.12,5.70,6.52,676.00
subnutrido,a,4.44,2.82,4.42,7.06,3.40,30.00
subordinado,a,3.44,3.39,3.06,7.21,8.80,6638.00
sub-reptício,a,3.53,2.62,3.49,8.14,3.64,38.00
subsequente,a,3.32,3.82,3.21,6.97,9.05,8501.00
subserviente,a,3.29,3.32,3.44,7.83,6.00,402.00
subsidiário,a,3.30,2.56,2.72,7.17,6.92,1010.00
subsônico,a,4.09,2.47,4.05,7.48,3.93,51.00
substancial,a,3.36,4.37,3.26,6.93,9.71,16426.00
substancioso,a,3.76,2.76,3.72,7.72,4.08,59.00
substitutivo,a,4.26,2.45,3.72,9.31,6.77,868.00
substituto,a,4.64,4.13,3.90,6.00,9.79,17901.00
subterrâneo,a,4.58,3.63,4.53,7.45,8.45,4676.00
subtropical,a,4.07,2.85,4.23,7.04,8.54,5104.00
suburbano,a,4.25,3.00,4.24,6.84,7.26,1427.00
subversivo,a,2.64,2.92,3.09,7.69,6.46,640.00
sucedâneo,a,4.04,2.79,4.01,6.75,6.23,508.00
sucessivo,a,3.78,3.12,3.39,8.25,6.48,655.00
sucessor,a,4.28,3.81,3.72,6.63,10.11,24682.00
sucessório,a,3.33,2.01,3.38,7.12,6.46,642.00
sucinto,a,3.12,3.30,2.71,8.02,6.58,721.00
sudanês,a,4.36,2.38,3.95,7.38,6.89,980.00
súdito,a,4.49,2.83,4.27,5.98,5.74,311.00
sudorífico,a,4.39,2.56,4.24,7.91,2.77,16.00
sueco,a,4.79,3.85,4.46,5.85,10.04,22919.00
suficiente,a,3.09,5.54,3.40,5.21,11.53,101513.00
sugestivo,a,3.07,3.76,3.51,7.36,6.87,967.00
suicida,a,4.17,3.68,4.87,6.53,8.72,6115.00
suíço,a,4.96,3.72,4.67,6.13,9.60,14808.00
sujeito,a,3.87,4.86,3.82,6.03,10.39,32487.00
sujo,a,4.56,5.13,4.86,4.15,8.96,7751.00
sul-africano,a,4.84,2.67,4.30,6.57,8.80,6658.00
sul-americano,a,4.69,3.32,4.54,7.33,9.33,11255.00
sul-coreano,a,4.15,3.02,4.10,6.97,8.39,4408.00
sulfúrico,a,4.75,3.33,4.35,6.72,7.46,1736.00
sulfuroso,a,3.54,2.47,3.48,8.69,5.59,268.00
sulino,a,4.06,2.28,3.91,7.92,4.71,111.00
sulista,a,3.95,3.13,4.13,7.42,7.36,1566.00
sul-mato-grossense,a,4.55,2.49,4.11,7.48,7.62,2046.00
sul-rio-grandense,a,4.29,2.30,4.15,7.17,4.71,111.00
sumarento,a,4.08,2.87,4.03,7.41,3.40,30.00
sumério,a,4.03,2.25,3.70,6.90,5.79,326.00
sumido,a,4.08,3.96,4.14,5.32,7.45,1713.00
sunita,a,3.97,2.18,3.67,8.29,7.58,1953.00
suntuário,a,4.19,2.72,4.22,7.46,2.30,10.00
suntuoso,a,3.95,2.95,4.16,8.26,5.93,375.00
superado,a,2.36,3.87,2.76,6.91,8.84,6894.00
superaquecer,a,4.60,2.88,4.59,7.12,4.23,69.00
superdotado,a,4.07,3.10,4.17,8.96,4.64,104.00
superficial,a,2.78,4.20,3.13,7.13,8.74,6244.00
supérfluo,a,3.18,3.65,3.28,7.86,6.88,972.00
superior,a,3.83,5.38,3.71,4.99,12.28,216088.00
supersensível,a,4.43,2.99,4.41,7.31,2.94,19.00
supersônico,a,4.56,2.13,4.12,7.42,5.93,377.00
supimpa,a,4.34,3.20,4.34,6.54,4.78,119.00
supino,a,4.78,2.12,4.08,7.69,5.42,227.00
suplente,a,4.67,3.28,3.89,7.22,9.00,8143.00
supletivo,a,4.12,3.52,4.30,6.77,6.22,501.00
suplicante,a,3.86,2.77,3.93,6.78,5.70,298.00
suposto,a,3.74,4.29,3.68,7.11,9.74,17052.00
supracitado,a,3.76,3.15,3.54,7.79,6.96,1050.00
supranacional,a,2.75,2.22,2.67,8.78,7.35,1554.00
suprapartidário,a,4.00,2.59,3.94,8.78,5.28,197.00
suprarrenal,a,4.61,2.17,3.96,7.80,4.34,77.00
supremo,a,3.11,3.53,3.34,6.37,10.89,53588.00
supressivo,a,4.26,2.48,4.24,8.32,3.56,35.00
surdo,a,4.45,4.20,4.64,4.40,8.17,3536.00
surdo-mudo,a,3.89,2.46,3.89,8.31,5.19,179.00
surinamês,a,4.55,2.37,3.97,7.91,4.76,117.00
surpreendente,a,2.78,4.86,3.34,6.84,9.65,15586.00
surpreso,a,3.37,4.73,4.08,5.44,8.81,6727.00
susceptível,a,2.74,3.93,2.80,7.36,9.51,13467.00
suscetível,a,3.19,3.79,3.35,7.68,7.56,1915.00
suserano,a,4.06,2.43,3.84,7.15,5.92,372.00
suspeito,a,5.58,4.55,5.10,5.12,10.95,56704.00
suspeitoso,a,3.28,2.58,3.19,8.44,4.88,132.00
suspensivo,a,2.46,2.22,2.34,8.79,7.63,2061.00
suspenso,a,4.37,4.18,3.82,5.84,10.06,23400.00
suspicaz,a,4.19,2.77,4.12,7.41,2.94,19.00
suspiroso,a,4.54,2.65,4.50,7.14,2.48,12.00
sutil,a,3.06,4.20,3.65,5.76,8.25,3846.00
sútil,a,3.89,2.79,3.95,8.08,3.91,50.00
tacanho,a,3.22,2.71,3.50,7.42,4.81,123.00
tácito,a,3.37,2.93,3.09,8.01,7.71,2221.00
taciturno,a,3.87,3.04,3.80,7.08,6.16,472.00
táctil,a,4.44,3.35,4.60,6.82,5.95,383.00
tagarela,a,4.24,3.29,4.22,6.31,6.56,705.00
tailandês,a,4.78,3.23,4.36,6.86,7.83,2516.00
taitiano,a,4.44,2.09,3.98,7.62,5.38,218.00
taiuanês,a,4.13,1.44,3.68,8.00,3.58,36.00
taiwanês,a,4.25,2.16,3.94,8.20,5.90,364.00
talhado,a,4.35,3.28,4.15,6.20,6.77,869.00
talonário,a,4.94,2.40,4.40,7.76,3.47,32.00
taludo,a,4.67,2.77,4.55,7.97,3.00,20.00
talvez,a,3.15,5.49,3.71,3.20,12.39,239876.00
também,a,4.83,5.44,5.01,2.89,14.69,2408350.00
tampouco,a,2.94,4.19,3.32,6.95,8.56,5210.00
tangível,a,2.93,3.71,3.19,6.58,7.01,1110.00
tanzaniano,a,4.44,2.79,4.17,6.64,5.42,225.00
tão,a,2.52,5.68,3.70,3.19,12.96,426465.00
tapado,a,4.82,3.74,4.79,6.32,6.58,722.00
tapados,a,4.67,3.50,4.55,6.88,5.80,330.00
tapuio,a,4.30,2.45,4.19,8.04,5.21,183.00
tarado,a,4.93,3.78,4.76,5.48,6.81,905.00
tarde,a,4.41,5.48,4.64,3.47,12.80,361062.00
tardio,a,2.92,3.53,3.05,6.58,8.41,4476.00
tardo,a,3.95,2.52,4.06,6.78,5.10,164.00
tarimbado,a,3.87,2.55,3.80,7.60,4.26,71.00
tartamudo,a,4.28,2.73,4.24,7.40,2.30,10.00
tartáreo,a,4.41,2.58,4.36,7.64,2.20,9.00
tartárico,a,3.91,2.47,3.64,8.42,5.54,255.00
tasmaniano,a,4.61,2.50,4.35,7.45,3.00,20.00
tatibitate,a,3.86,2.56,3.90,7.82,2.83,17.00
tático,a,4.14,3.59,3.92,6.98,8.76,6394.00
taumaturgo,a,4.18,2.26,4.18,7.28,5.70,298.00
taurino,a,4.30,2.59,4.19,7.38,5.73,308.00
taxativo,a,3.60,2.82,3.07,7.90,6.40,599.00
tcheco,a,5.22,3.05,4.47,7.11,7.93,2768.00
tchecoslovaco,a,3.71,2.50,3.63,8.04,5.75,313.00
teatral,a,3.86,3.73,4.24,7.04,9.61,14874.00
técnico,a,4.64,5.27,4.49,5.38,12.26,211137.00
teimoso,a,3.60,4.29,3.79,5.76,7.58,1959.00
telegráfico,a,4.60,2.84,3.97,8.93,6.07,432.00
televisivo,a,4.23,4.18,4.44,5.61,8.92,7496.00
telúrico,a,3.64,2.44,3.86,7.75,5.27,195.00
temático,a,4.10,3.98,4.34,7.22,8.37,4337.00
temerário,a,2.83,2.95,3.16,7.77,6.52,677.00
temeroso,a,2.74,3.30,3.15,6.76,6.51,670.00
temível,a,3.31,3.04,3.66,7.65,7.31,1500.00
temperado,a,4.59,3.76,4.45,5.84,8.19,3587.00
temperamental,a,3.68,3.52,4.07,6.05,6.65,773.00
tempestivo,a,3.96,2.85,3.84,7.29,3.30,27.00
tempestuoso,a,3.41,3.31,3.93,7.37,5.98,397.00
temporal,a,3.41,4.18,3.87,6.10,9.34,11410.00
temporão,a,4.74,2.58,4.43,6.99,5.42,226.00
temporário,a,3.22,4.13,3.03,7.76,9.35,11539.00
temporizador,a,4.66,3.52,4.52,6.22,6.05,424.00
tenaz,a,3.33,3.23,3.48,7.64,6.86,951.00
tendencioso,a,3.00,3.37,3.21,8.24,5.88,357.00
tênder,a,4.34,2.64,4.29,7.73,2.08,8.00
tenebroso,a,3.19,3.40,3.83,6.33,6.60,737.00
tenro,a,4.58,3.13,4.61,6.32,5.53,251.00
tenso,a,3.36,4.47,3.92,5.79,8.46,4725.00
tensor,a,3.53,2.72,3.96,8.59,7.01,1105.00
tênue,a,3.02,3.39,3.51,7.72,7.09,1197.00
teórico,a,3.15,4.07,3.22,7.39,8.92,7450.00
tépido,a,4.12,2.82,4.32,6.77,5.18,177.00
terapêutico,a,3.41,3.61,3.36,7.44,7.63,2059.00
terçã,a,4.23,2.61,4.21,7.77,3.00,20.00
terçado,a,5.73,2.58,5.25,7.28,4.71,111.00
terceiro-mundista,a,3.24,3.04,3.80,8.77,5.81,332.00
terciário,a,4.33,3.20,3.81,6.52,8.08,3232.00
terço,a,4.56,4.44,4.17,5.53,9.94,20708.00
teresinense,a,4.55,2.44,4.34,8.01,4.51,91.00
termal,a,4.32,3.03,4.37,6.04,7.24,1400.00
térmico,a,3.70,3.18,3.41,6.98,8.28,3963.00
terminal,a,5.53,4.19,5.14,5.47,10.32,30382.00
terminante,a,3.19,2.77,3.12,7.51,4.74,115.00
terminativo,a,3.79,2.49,3.65,8.14,3.37,29.00
termonuclear,a,3.97,2.55,4.03,5.78,6.89,983.00
ternário,a,4.08,3.07,4.04,7.46,5.31,203.00
terral,a,4.54,2.78,4.42,7.06,4.14,63.00
terreal,a,3.93,2.58,4.42,7.69,4.09,60.00
terreno,a,5.00,4.78,4.86,5.51,11.17,71261.00
térreo,a,5.92,3.70,5.26,7.35,8.31,4052.00
terrestre,a,4.58,3.80,4.89,5.81,9.90,19954.00
terrível,a,3.12,4.67,4.17,4.60,10.11,24635.00
terso,a,4.07,2.41,4.01,7.61,2.89,18.00
teso,a,4.77,2.84,4.50,6.87,5.59,267.00
testador,a,4.23,2.53,4.05,8.66,5.91,368.00
testamenteiro,a,4.62,2.45,4.15,7.49,5.24,188.00
tetra,a,4.55,2.52,4.17,6.97,7.92,2762.00
tetracampeão,a,4.52,2.91,4.27,8.30,7.46,1738.00
tetraplégico,a,5.50,2.78,4.98,6.60,5.72,305.00
tétrico,a,3.74,2.62,3.76,8.33,5.50,244.00
teutão,a,4.49,2.54,4.38,7.56,2.20,9.00
teuto,a,4.70,2.52,4.45,7.54,4.20,67.00
teutônico,a,3.90,2.04,3.94,7.06,4.51,91.00
têxtil,a,5.88,3.67,5.12,6.40,9.38,11843.00
textual,a,3.01,3.17,2.88,6.92,7.32,1511.00
tibetano,a,4.42,2.23,3.89,7.01,7.69,2184.00
tíbio,a,3.94,2.80,3.82,8.62,3.74,42.00
tímido,a,3.24,4.76,3.77,4.86,8.47,4779.00
timorato,a,3.72,2.90,3.85,7.43,4.17,65.00
tinado,a,3.66,2.41,3.53,8.01,4.37,79.00
tinhoso,a,4.11,2.40,4.19,7.45,5.18,178.00
tinto,a,6.17,4.09,5.73,5.37,8.31,4054.00
típico,a,3.84,4.77,4.01,4.78,9.61,14869.00
tirano,a,3.73,3.15,4.14,5.91,7.99,2945.00
tirante,a,5.38,2.87,4.80,6.91,6.04,419.00
tiririca,a,5.36,2.80,4.87,5.48,6.45,634.00
tirolês,a,4.36,2.28,4.16,7.14,4.87,130.00
tísico,a,4.44,2.80,4.35,7.39,5.04,155.00
titânico,a,3.73,2.46,3.74,7.75,4.88,131.00
tocado,a,3.88,4.16,4.31,5.77,8.88,7189.00
tocante,a,3.15,4.21,3.20,7.85,9.07,8654.00
tocantinense,a,4.22,2.04,3.88,7.41,7.30,1486.00
todo,a,3.82,5.70,4.26,2.80,13.23,556817.00
todo-poderoso,a,3.35,2.73,3.72,6.77,7.12,1236.00
togado,a,4.11,2.07,3.62,7.89,4.34,77.00
togolês,a,4.41,2.46,4.26,7.42,5.33,206.00
toleirão,a,4.18,2.58,4.22,6.17,3.53,34.00
tolerante,a,2.81,4.07,3.32,6.85,7.61,2015.00
tolerável,a,2.74,3.67,3.16,6.83,6.66,783.00
tolo,a,3.18,4.18,3.49,5.17,8.61,5469.00
tonante,a,4.28,2.43,4.11,7.55,4.20,67.00
tônico,a,4.11,3.22,3.80,6.56,6.11,451.00
tonitruante,a,3.58,2.43,3.60,8.67,4.45,86.00
tonto,a,4.04,4.19,4.35,4.86,7.91,2738.00
torácico,a,4.50,2.57,4.07,8.62,5.79,327.00
torcedor,a,4.51,4.47,4.71,4.98,10.24,28063.00
torcido,a,5.50,3.65,5.15,5.39,6.29,540.00
torneado,a,4.38,2.36,4.27,7.74,4.63,103.00
tororó,a,4.28,2.28,4.09,8.58,5.66,286.00
torpe,a,1.94,3.41,2.51,6.90,6.84,930.00
torrencial,a,3.69,3.34,3.99,6.75,6.35,573.00
tórrido,a,3.50,3.11,3.97,7.94,5.64,281.00
torto,a,5.56,4.25,5.18,3.99,7.93,2790.00
tortuoso,a,3.51,3.49,3.50,7.15,6.26,524.00
torvo,a,3.67,2.60,3.96,6.76,5.04,154.00
toscano,a,5.30,2.01,4.76,6.75,7.01,1109.00
tosco,a,4.17,3.73,4.36,6.13,6.65,772.00
total,a,3.14,5.13,3.07,5.91,12.56,284799.00
totalitário,a,3.08,3.02,3.56,7.84,7.32,1504.00
tóxico,a,4.26,3.96,4.12,6.31,8.21,3681.00
trabalhador,a,4.99,5.17,4.87,6.36,10.25,28409.00
trabalhoso,a,2.78,3.88,2.99,6.12,6.49,657.00
traçado,a,4.08,3.89,3.91,7.35,9.35,11502.00
tradutor,a,5.17,3.90,4.44,6.19,8.61,5460.00
traficante,a,4.98,3.76,4.75,6.13,8.78,6514.00
trágico,a,2.72,4.10,3.45,6.94,8.87,7105.00
traiçoeiro,a,3.17,3.27,3.70,6.00,6.73,836.00
traidor,a,4.02,3.49,4.17,4.86,8.42,4557.00
trampolineiro,a,4.29,2.78,4.35,7.41,2.83,17.00
trançado,a,5.22,2.78,4.51,7.90,5.83,339.00
tranquilizante,a,4.58,3.58,4.55,7.21,6.26,524.00
tranquilo,a,3.20,5.72,3.91,4.87,9.64,15385.00
transatlântico,a,4.35,2.69,4.21,7.02,7.73,2272.00
transato,a,4.06,2.44,3.61,9.22,4.34,77.00
transcendental,a,2.37,3.28,3.14,8.71,6.99,1091.00
transcendente,a,1.58,3.35,2.68,8.19,7.11,1220.00
transcontinental,a,4.04,2.38,4.04,8.40,6.26,525.00
transdutor,a,5.01,2.61,4.65,8.29,5.74,310.00
transeunte,a,4.79,3.64,4.59,6.65,6.27,530.00
transexual,a,4.74,2.88,4.91,8.15,7.17,1304.00
transferidor,a,4.81,2.76,4.47,7.81,4.30,74.00
transformador,a,4.54,3.48,4.24,8.20,7.54,1877.00
transgênico,a,5.08,3.29,4.48,6.39,5.72,305.00
transgressor,a,3.23,2.99,3.67,7.78,5.66,286.00
transido,a,3.72,2.54,3.78,6.99,4.33,76.00
transigente,a,3.93,2.73,4.07,7.55,3.33,28.00
transitivo,a,4.05,3.09,3.73,5.80,5.69,296.00
transitório,a,3.03,3.35,2.80,7.78,8.83,6823.00
translúcido,a,4.95,3.29,4.69,6.40,5.89,360.00
transmissível,a,3.23,3.22,3.53,7.79,6.86,954.00
transmissivo,a,4.04,2.77,3.98,7.70,2.20,9.00
transmissor,a,5.99,3.62,5.37,5.57,8.59,5390.00
transoceânico,a,3.80,2.76,3.80,8.11,4.77,118.00
transparente,a,3.89,4.61,3.79,6.24,9.60,14806.00
transposto,a,3.36,3.01,3.47,7.10,7.02,1123.00
transtornado,a,3.30,3.90,3.92,7.88,6.35,570.00
transversal,a,4.87,3.45,4.24,7.16,8.58,5299.00
transverso,a,3.80,2.63,3.66,7.24,5.56,261.00
trapaceiro,a,4.40,3.39,4.55,5.71,6.82,913.00
trapalhão,a,4.36,2.87,4.53,5.60,6.55,702.00
trapicheiro,a,4.46,2.61,4.36,7.21,2.40,11.00
traquinas,a,4.16,3.01,4.35,7.23,5.19,180.00
traseiro,a,5.96,4.76,5.44,4.01,9.23,10223.00
tratador,a,4.81,3.09,4.43,6.33,5.80,330.00
tratante,a,4.08,2.97,4.18,6.35,5.46,234.00
tratável,a,3.06,3.14,3.39,7.85,5.48,240.00
travesso,a,4.41,3.49,4.39,5.33,6.97,1062.00
trecentista,a,4.34,2.27,4.15,8.25,3.53,34.00
trêfego,a,4.09,2.67,4.14,7.43,3.53,34.00
trêmulo,a,4.16,3.32,4.24,6.26,6.52,680.00
tresloucado,a,3.66,2.59,3.84,7.43,5.06,157.00
triásico,a,4.54,2.58,4.35,7.72,3.22,25.00
triássico,a,4.51,2.32,3.78,6.78,7.14,1264.00
tributário,a,3.58,3.28,3.43,7.59,8.30,4021.00
tributável,a,3.99,2.56,3.54,6.89,7.32,1510.00
tricampeão,a,4.46,3.19,4.46,6.53,8.21,3693.00
tricentenário,a,4.45,2.06,4.15,8.62,5.26,193.00
tríceps,a,5.17,2.77,4.82,7.67,5.36,212.00
tricolor,a,4.43,3.09,4.33,6.01,10.69,43844.00
tricordiano,a,4.87,2.41,4.62,6.81,6.65,771.00
tricorne,a,4.62,2.69,4.45,7.31,2.64,14.00
tricúspide,a,4.97,2.38,4.41,6.52,4.42,83.00
tridente,a,5.12,2.58,5.00,6.53,6.95,1046.00
tridimensional,a,3.42,3.72,3.93,7.86,7.91,2729.00
trienal,a,3.88,2.62,3.70,8.39,6.99,1082.00
trifásico,a,4.27,2.32,3.80,8.31,4.79,120.00
trigêmeo,a,4.36,2.59,4.41,8.53,4.85,128.00
trigonométrico,a,4.26,2.81,4.08,7.58,4.13,62.00
trigueiro,a,4.50,2.14,4.25,7.22,5.71,302.00
trilateral,a,4.52,2.33,3.97,8.04,6.05,422.00
trilíngue,a,4.71,2.92,4.03,8.06,4.91,135.00
trimensal,a,4.18,2.64,4.01,8.19,3.56,35.00
trimestral,a,3.98,3.72,3.49,6.49,8.04,3101.00
trinchante,a,4.49,2.64,4.27,7.66,3.30,27.00
trintão,a,4.28,2.54,4.10,6.71,4.69,109.00
triplex,a,5.56,3.58,4.86,9.08,7.36,1574.00
tripulante,a,5.40,2.96,4.86,6.07,7.35,1553.00
trirreme,a,4.51,1.95,4.06,8.30,4.09,60.00
triste,a,2.78,5.78,4.15,3.38,10.61,40407.00
tristonho,a,4.03,3.26,4.10,5.83,5.77,319.00
trivalente,a,4.44,2.78,4.20,8.68,6.22,504.00
trivial,a,2.66,4.47,3.21,6.80,7.52,1851.00
trocado,a,4.21,4.34,4.02,5.91,8.64,5667.00
trocista,a,3.57,2.70,3.77,7.30,4.30,74.00
troglodita,a,4.31,2.90,4.47,6.73,5.23,186.00
trombudo,a,5.32,2.16,4.56,6.99,5.03,153.00
troncho,a,4.57,2.25,4.21,8.06,3.64,38.00
troncudo,a,4.30,2.82,4.35,7.74,3.26,26.00
trôpego,a,4.28,2.66,4.34,5.79,4.91,136.00
tropical,a,4.24,3.95,4.70,7.34,10.30,29608.00
truculento,a,3.32,2.84,3.59,7.28,5.83,340.00
tuberculoso,a,4.97,2.67,4.53,6.62,5.04,154.00
tuberoso,a,4.51,2.38,4.24,7.50,2.77,16.00
tubiforme,a,4.51,2.73,4.42,7.42,2.40,11.00
tubular,a,5.16,2.31,4.63,6.28,7.07,1171.00
túmido,a,4.12,2.41,4.00,7.79,3.50,33.00
tumultuário,a,4.05,2.66,4.01,7.71,3.26,26.00
tumultuoso,a,3.04,2.91,3.47,6.58,5.41,224.00
tunisiano,a,5.00,2.44,4.27,9.55,6.22,504.00
